what,kind,bundleId,bundleVersion,description,time
error,log,,,"selecter.xml: error!",1349672982120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1349672982275
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1349672998489
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349673286028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349673293194
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1349673293382
error,log,,,"selecter.xml: error!",1349673294177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349673294303
error,log,,,"selecter.xml: error!",1349673295857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349673312354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349673315314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349673416815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349673418094
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673499650
error,log,,,"selecter.xml: error!",1349673499786
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673500186
error,log,,,"selecter.xml: error!",1349673500969
error,log,,,"selecter.xml: error!",1349673503643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673503761
error,log,,,"selecter.xml: error!",1349673506674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673507777
error,log,,,"selecter.xml: error!",1349673508337
error,log,,,"selecter.xml: error!",1349673509419
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673509540
error,log,,,"selecter.xml: error!",1349673510405
error,log,,,"selecter.xml: error!",1349673511235
error,log,,,"selecter.xml: error!",1349673511521
error,log,,,"selecter.xml: error!",1349673511672
error,log,,,"selecter.xml: error!",1349673512865
error,log,,,"selecter.xml: error!",1349673514207
error,log,,,"selecter.xml: error!",1349673516808
error,log,,,"selecter.xml: error!",1349673517047
error,log,,,"selecter.xml: error!",1349673520412
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673522531
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673528225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673535134
error,log,,,"selecter.xml: error!",1349673535685
error,log,,,"selecter.xml: error!",1349673536604
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673536722
error,log,,,"selecter.xml: error!",1349673537481
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673537600
error,log,,,"selecter.xml: error!",1349673538586
error,log,,,"selecter.xml: error!",1349673539471
error,log,,,"selecter.xml: error!",1349673539720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673540618
error,log,,,"selecter.xml: error!",1349673541169
error,log,,,"selecter.xml: error!",1349673541469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673541592
error,log,,,"selecter.xml: error!",1349673542106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673542256
error,log,,,"selecter.xml: error!",1349673543018
error,log,,,"selecter.xml: error!",1349673545057
error,log,,,"selecter.xml: error!",1349673545303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673546962
error,log,,,"selecter.xml: error!",1349673547901
error,log,,,"selecter.xml: error!",1349673548394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673548513
error,log,,,"selecter.xml: error!",1349673549096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349673549220
error,log,,,"selecter.xml: error!",1349673550088
error,log,,,"selecter.xml: error!",1349673551324
error,log,,,"selecter.xml: error!",1349673551571
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673572647
error,log,,,"selecter.xml: error!",1349673579049
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673580873
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673582199
error,log,,,"selecter.xml: error!",1349673590474
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673592749
error,log,,,"selecter.xml: error!",1349673596456
error,log,,,"selecter.xml: error!",1349673597777
error,log,,,"selecter.xml: error!",1349673602850
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673604249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673605234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673606866
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673607796
error,log,,,"selecter.xml: error!",1349673607873
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673608742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349673619618
error,log,,,"selecter.xml: error!",1349673624543
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673624684
error,log,,,"selecter.xml: error!",1349673624726
error,log,,,"selecter.xml: error!",1349673626863
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673627813
error,log,,,"selecter.xml: error!",1349673632149
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673633244
error,log,,,"selecter.xml: error!",1349673633314
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673634562
error,log,,,"selecter.xml: error!",1349673649947
error,log,,,"selecter.xml: error!",1349673655261
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1349673659952
error,log,,,"selecter.xml: error!",1349673659986
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1349673661004
