what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349665441001
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349665441095
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349665442778
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349665465396
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349665466431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665478647
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1349665478690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665481464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349665520016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349665522019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349665524501
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349665530189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665531558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1349665532417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665533046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1349665533055
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349665534376
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1349665535545
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1349665543096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665544138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665544292
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349665546939
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665550050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665551854
opened,view,org.eclipse.debug.ui,,"org.eclipse.debug.ui.DebugView",1349665552078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665643220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665644742
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349665738818
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349665739016
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349665741688
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349665741889
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349665744755
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349665744938
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1349665791308
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1349665796808
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1349665796962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665808617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665813889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665823939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665826847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349665843258
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1349665848410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665850980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665853796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665891862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665956274
started,bundle,org.eclipse.wst.xsl.launching,1.0.100.v201004290328,"org.eclipse.wst.xsl.launching",1349665956383
started,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.launching",1349665956402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665956513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665958385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665961235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665963194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349665969649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349666124094
